carbon,manganese,silicone,chromium,nickel,molybdenum,vanadium,nitrogen,niobium,cobalt,tugnsten,aluminium,titanium,yield_strength,tensile_strength,elongation
0.04,0.01,0.01,0.01,15,5,0.01,0,0.2,8.8,0,0.5,0.24,1019.7,1157.5,15
0.21,0.01,0.6,8.2,2.6,1.3,0.29,0,0.01,14.2,0,0.03,0.02,1391.8,1839.6,11
0.01,0.01,0.01,5,11.2,5,0.01,0,0.01,6.2,0,0.09,1.81,1164.4,1288.4,33
0.17,0.16,0.05,2.97,10.02,1.21,0.01,0,0.01,13.74,0,0.01,0,1547.3,1663.9,14.4
0.07,0.6,0.3,15,7,2.25,0.01,0,0.01,0.01,0,1.2,0,1463,1555.4,6.5
0.03,0.05,0.17,0.01,16.4,0.02,4,0,0.01,6.9,0,0.1,0.14,1536.5,1536.5,11
0.35,0.07,4.75,0.01,18.5,0.02,0.01,0,0.01,0.01,0,0.03,0,1250.5,1949.9,2
0.01,0.01,0.01,5,11.1,5.1,0.01,0,0.01,6.3,0,0.1,1.29,1123.1,1247.1,23
0.09,1,0.5,17.5,4.2,2.75,0.01,0.1,0.01,0.01,0,0.03,0,1016.4,1324.4,12
0.19,0.01,0.01,6.8,2.8,2.4,0.28,0,0.01,14.2,1.3,0.03,0.02,1371.1,1812.1,13
0.09,0.5,0.28,17.12,4.18,2.02,0.01,0,0.01,2.02,0,0.03,0,1117.3,1286.6,20.2
0.1,0.53,0.26,12.32,0.01,0.02,0.01,0.03,0.01,9.75,6,0.03,0,1232,1566.2,14.7
0.16,0.16,0.05,1.97,10.05,1,0.01,0,0.01,13.88,0,0.01,0,1592.9,1729.6,14.5
0.16,0.06,0.04,1.95,10.15,0.98,0.01,0,0.01,13.8,0,0.01,0.01,1629.9,1760.8,14.5
0.02,0.01,0.01,5,11.1,4.8,0.01,0,0.01,6.2,0,0.09,0.82,1047.3,1178.2,18
0.11,0.58,0.22,11.89,0.01,3.88,0.01,0.02,0.01,10.2,0,0.03,0,1096.5,1492.3,14.5
0.24,0.01,0.01,9.1,2.8,1.3,0.37,0,0.01,12.4,0,0.03,0.03,1615.8,1960.2,15.5
0.23,0.01,0.01,9,2.8,1.3,0.3,0,0.01,12.5,0,0.03,0.03,1522.7,2024,14.4
0.02,0.01,0.01,0.01,13,5,0.47,0,0.01,8.9,0,0.2,0.71,1061.1,1198.9,23
0.18,0.01,0.01,9.1,2.8,1.3,0.29,0,0.01,12.5,0,0.03,0.03,1426.2,1800.6,16
0.24,0.01,0.01,9,2.8,1.3,0.29,0,0.01,12.4,0,0.03,0.02,1564,1939.6,16
0.1,3,0.3,17,4.2,0.02,0.01,0,0.01,0.01,0,0.03,0,1130.4,1350.6,30.5
0.15,0.16,0.05,2.97,10.06,1,0.01,0,0.01,12.05,0,0.01,0,1455.4,1567.7,16.7
0.09,2.16,0.18,16.92,4.26,1.04,0.01,0,0.01,0.01,0,0.03,0,1028.7,1315.2,18
0.03,0.01,0.01,12.64,8.44,2.24,0.01,0,0.01,0.01,0,1.31,0.01,1521.3,1572.3,13.5
0.02,0.1,4.27,0.01,18.1,0.02,0.01,0,0.01,0.01,0,0.07,0.09,1801.8,1915.4,4
0.15,0.16,0.06,2.01,10.08,1.22,0.01,0,0.01,12.15,0,0.01,0,1503.4,1642.2,16
0.03,0.01,0.01,12.51,8.36,2.22,0.01,0,0.01,0.01,0,1.06,0.09,1350.3,1413.2,18.2
0.04,0.01,0.02,12.52,8.63,2.1,0.01,0,0.01,0.01,0,1,0,1308,1431.4,14.3
0.03,0.01,0.01,12.49,8.31,2.21,0.01,0.01,0.01,0.01,0,1.06,0.09,1357.9,1408.6,16.8
0.03,0.01,0.01,12.49,8.31,2.22,0.01,0,0.01,0.01,0,1.07,0.05,1317,1526.5,18.1
0.03,0.01,0.01,12.52,8.34,2.21,0.01,0.01,0.01,0.01,0,1.06,0.02,1269,1325.2,16.2
0.03,0.01,0.01,12.57,8.29,2.22,0.01,0.01,0.01,0.01,0,1.05,0.01,1306.9,1336.4,15.9
0.03,0.01,0.01,12.54,8.38,2.24,0.01,0,0.01,0.01,0,1.03,0.01,1285,1311.3,16
0.04,0.01,0.01,12.49,8.3,2.23,0.01,0,0.01,0.01,0,1.07,0.01,1297.5,1343.3,15.5
0.04,0.01,0.01,12.51,8.32,2.22,0.01,0,0.01,0.01,0,1.06,0.05,1344,1511,17.8
0.04,0.01,0.01,12.45,8.33,2.2,0.01,0,0.01,0.01,0,1.04,0.1,1348.6,1440.6,17.3
0.12,0.18,0.06,2.01,10.07,1,0.01,0,0.01,12.1,0,0.01,0,1463.3,1574.7,15.4
0.03,0.01,0.01,12.51,8.28,2.2,0.01,0.01,0.01,0.01,0,1.05,0.05,1276.7,1334,18.3
0.03,0.01,0.01,12.51,8.31,2.22,0.01,0,0.01,0.01,0,1.06,0.02,1296,1355.3,18.2
0.03,0.01,0.01,12.56,8.31,2.22,0.01,0,0.01,0.01,0,1.02,0.01,1277.7,1308.8,16.1
0.04,0.01,0.01,12.49,8.3,2.21,0.01,0,0.01,0.01,0,1.02,0.09,1391.2,1426,16.6
0.04,0.01,0.01,12.46,8.34,2.24,0.01,0,0.01,0.01,0,1.04,0.01,1312,1344.4,14.6
0.03,0.01,0.01,12.47,8.31,2.2,0.01,0,0.01,0.01,0,1.03,0.02,1276.5,1463.8,18.6
0.2,0.01,0.01,8.2,2.1,1.3,0.29,0,0.01,12.4,0,0.03,0.02,1357.3,1777.6,11
0.04,0.01,0.01,12.35,8.27,2.21,0.01,0,0.01,0.01,0,1.04,0.03,1294.9,1352.1,18.2
0.13,1,0.25,15.5,4.2,2.75,0.01,0.1,0.01,0.01,0,0.03,0,1155,1409.1,14
0.14,3,0.24,15.69,4.14,0.02,0.01,0,0.01,0.01,0,0.03,0,1153.4,1359.8,17.2
0.04,0.01,0.01,12.58,8.39,2.2,0.01,0,0.01,0.01,0,0.77,0.02,1280.2,1343.8,18.4
0.12,0.54,1.2,12.02,2,3.01,0.35,0.05,0.41,4,0,0.03,0,1074.9,1342.9,17.9
0.01,0.07,0.11,11.3,10.3,2.05,0.01,0,0.01,0.01,0,0.24,0.23,1157.5,1187.8,16.5
0.04,0.01,0.04,12.44,8.26,2.19,0.01,0,0.01,0.01,0,0.77,0.02,1280.8,1340.1,16.1
0.4,0.16,0.01,12.14,0.01,5.84,0.96,0,0.01,4.92,0,0.03,0,1667.4,2122.1,4
0.03,0.01,0.01,11.2,9.61,0.02,0.01,0,0.01,0.01,4,0.39,0.26,1199,1266.5,10.3
0.04,0.01,0.01,12.38,8.25,2.2,0.01,0,0.01,0.01,0,0.81,0.03,1305.4,1361.8,18.2
0.01,0.01,0.01,0.01,21,2.1,0.01,0,0.01,0.01,0,0.13,1.9,1661.2,1888.4,6
0.01,0.1,3.3,0.01,18.5,0.02,0.01,0,0.01,0.01,0,0.05,0.11,1474.4,1529.6,13.5
0.01,0.01,0.01,10.5,10.3,3.1,0.01,0,0.01,0.01,0,0.36,0.11,1091.4,1140.3,22
0.02,0.74,0.1,10.2,10.2,1.98,0.01,0,0.01,0.01,0,0.3,0.22,1145.8,1196.1,18
0.01,0.05,0.02,10.6,10.6,2.06,0.01,0,0.01,0.01,0,0.36,0.08,1194,1235.4,17
0.1,0.5,0.3,12,2,0.02,0.01,0,0.01,5,6,0.03,0,1235.9,1520,15.6
0,0.1,0.41,10.2,10.4,2,0.01,0,0.01,0.01,0,0.25,0.23,1221.6,1282.9,17.5
0.01,0.05,0.1,7.7,12.2,3.05,0.01,0,0.01,0.01,0,0.63,0.2,1506.8,1546.8,14
0.02,0.11,3.18,0.01,18.3,0.02,0.01,0,0.01,0.01,0,0.03,0,1419.4,1481.4,14
0,0.07,0.1,10.4,10.4,2.2,0.01,0,0.01,0.01,0,0.25,0.24,1224.7,1241.2,15.5
0,0.11,0.3,10.2,10.4,2.05,0.01,0,0.01,0.01,0,0.2,0.22,1173.8,1232,18
0.01,0.08,0.05,9.4,10.7,3.2,0.01,0,0.01,0.01,0,0.27,0.22,1267.8,1285,15
0.03,0.01,0.01,10.7,9.46,2.45,0.01,0,0.01,0.01,0,0.46,0.28,1182,1254.5,10.1
0,0.05,0.02,11.2,9.9,2.05,0.01,0,0.01,0.01,0,0.13,0.3,1172,1213.3,18
0,0.36,0.08,10.2,10.3,2.02,0.01,0,0.01,0.01,0,0.3,0.23,1178.9,1234.4,18.5
0,0.44,0.08,10.1,10.3,2,0.01,0,0.01,0.01,0,0.3,0.22,1163,1219.6,17.5
0.01,0.11,0.18,10.2,10.3,2.05,0.01,0,0.01,0.01,0,0.27,0.22,1175.4,1224.4,19
0.01,0.03,0.03,10.2,10.5,2.2,0.01,0,0.01,0.01,0,0.23,0.24,1340.8,1353.2,13
0.01,0.12,0.06,10.3,10.2,2.05,0.01,0,0.01,0.01,0,0.31,0.21,1258.8,1289.1,15
0.01,0.05,0.09,7.65,12.2,3.05,0.01,0,0.01,0.01,0,0.46,0.2,1414.5,1465.5,15
0.02,0.24,0.1,10.2,10.3,1.94,0.01,0,0.01,0.01,0,0.24,0.23,1167.2,1207.8,16.5
0,0.05,0.02,10.4,10,2.05,0.01,0,0.01,0.01,0,0.35,0.31,1282.2,1344.2,16
0.01,0.01,0.01,0.01,17.5,2.1,2,0,0.01,0.01,0,0.12,2,1998.6,2088.4,10
0.02,0.48,0.1,10,10,1.92,0.01,0,0.01,0.01,0,0.29,0.21,1188.6,1236.4,16.5
0,0.05,0.02,10.3,10.2,2.06,0.01,0,0.01,0.01,0,0.35,0.17,1243,1292.6,16
0,0.12,0.07,9.9,10.5,2.1,0.01,0,0.01,0.01,0,0.23,0.22,1150.6,1202.6,17
0.36,0.22,0.01,6.75,0.01,5.75,0.96,0,0.01,9.46,0,0.03,0,1846.5,2177.2,6
0.02,0.06,0.13,10.4,9.9,2.15,0.01,0,0.01,0.01,0,0.09,0.13,1005.9,1033.5,21
0.03,0.05,0.11,7.5,12.1,3.05,0.01,0,0.01,0.01,0,0.25,0.2,1218.8,1260.2,18
0,0.05,0.03,10.3,10.3,2.06,0.01,0,0.01,0.01,0,0.09,0.09,1032.1,1063.1,20
0.01,0.07,0.1,7.7,12,3.02,0.01,0,0.01,0.01,0,0.08,0.06,1010.8,1041.1,19
0.03,0.01,0.01,11.3,8.64,0.02,0.01,0,0.01,0.01,1.84,0.39,0.27,1194,1259,10.8
0.01,0.08,0.12,9,8.5,3.25,0.01,0,0.01,0.01,0,0.9,0.23,1462.7,1533,12
0.02,0.06,0.08,7.4,10.3,3.25,0.01,0,0.01,0.01,0,0.91,0.23,1555.8,1598.5,12
0,0.12,0.08,10.4,9.2,1.97,0.01,0,0.01,0.01,0,0.26,0.21,1207.8,1223.7,16
0.02,0.01,0.01,0.01,17.9,3.1,0.9,0,0.01,0.01,0,0.07,1.4,1730.2,1819.5,10
0.03,0.01,0.01,10.7,10.3,0.02,0.01,0,0.01,0.01,0,0.21,0.31,1125,1217.5,15.4
0.03,0.01,0.01,0.01,18.1,2.2,0.01,0,0.01,0.01,0,0.1,2.5,2006,2130,5
0.03,0.01,0.01,0.01,18.1,2.2,0.01,0,0.01,0.01,0,0.11,2.5,2005.5,2129.5,5
0.01,0.06,2.58,0.01,17.8,0.02,0.01,0,0.01,0.01,0,0.05,0.07,1309.1,1374.6,16
0.01,0.12,0.08,9.8,10,1.7,0.01,0,0.01,0.01,0,0.2,0.19,1087,1130.2,15.4
0.01,0.05,0.1,7.7,10.4,3.07,0.01,0,0.01,0.01,0,0.67,0.2,1475.8,1529.6,16
0.01,0.01,0.01,0.01,17.8,3.1,1,0,0.01,0.01,0.33,0.05,1.1,1688.1,1750.1,12
0.03,0.01,0.01,0.01,17.3,0.02,1.8,0,2.5,0.01,0,0.1,1.07,1730.2,1771.4,8
0.38,0.18,0.01,7.43,0.01,9.67,0.96,0,0.01,4.91,0,0.03,0,1577.8,1943,3
0.4,0.18,0.01,9.69,0.01,5.84,0.96,0,0.01,4.87,0,0.03,0,1798.3,2135.9,6
0.02,0.1,2.02,0.01,18.4,0.02,0.01,0,0.01,0.01,0,0.03,0,1298.8,1343.6,15
0.01,0.05,0.09,7.6,10.3,3.05,0.01,0,0.01,0.01,0,0.52,0.2,1383.5,1424.9,15
0.02,0.01,0.01,0.01,17.5,0.02,1.9,0,0.01,0.01,0,0.09,2.06,1730.2,1943.5,6
0.01,0.05,0.06,5.32,12.95,2.93,0.01,0,0.01,0.01,0,0.51,0.2,1404.2,1429,15
0.01,0.03,0.01,0.01,18.11,3.07,0.01,0,0.01,0.01,0,0.09,1.41,1641.2,1709.9,10.7
0.01,0.02,0.01,0.01,18.2,3.06,0.01,0,0.01,0.01,0,0.09,1.26,1599.4,1670.1,12.5
0.29,0.01,0.01,1.02,10.46,2,0.1,0,0.01,7.17,1.28,0.03,0.01,1683,1990,14
0,0.01,0.01,0.01,18.1,3.1,0.01,0,0.01,0.01,0,0.05,1.4,1716.3,1833.4,13
0.03,0.01,0.01,0.01,18.5,0.02,0.01,0,0.01,0.01,3,0.1,1.4,1600,1650,8
0,0.07,0.08,7.5,10.5,3.3,0.01,0,0.01,0.01,0,0.21,0.23,1263.6,1279.5,16
0.01,0.04,0.1,7.95,10.2,3.08,0.01,0,0.01,0.01,0,0.08,0.05,1061.7,1079,18
0.01,0.08,0.12,8.9,8.35,3.25,0.01,0,0.01,0.01,0,0.25,0.2,1169.2,1181.6,18
0.01,0.06,0.05,7.8,10.2,3.2,0.01,0,0.01,0.01,0,0.06,0.1,1036.9,1054.9,19
0.03,0.07,0.04,8.9,8.45,3.25,0.01,0,0.01,0.01,0,0.15,0.23,1150.6,1168.5,17
0.01,0.01,0.01,0.01,18.1,1,0.01,0,0.01,0.01,0,0.08,1.8,1737.2,1840.3,9
0.02,0.21,0.19,4.98,12.26,2.97,0.01,0,0.01,0.01,0,0.23,0.14,1194,1223.7,15
0.01,0.08,0.05,4.65,12.11,3.13,0.01,0,0.01,0.01,0,0.57,0.2,1390.4,1413.8,15
0.01,2.5,0.02,0.01,18,0.02,0.01,0,0.01,0.01,0,0.05,0.04,1471.1,1522.7,12
0.01,0.05,0.12,4.8,12.16,2.99,0.01,0,0.01,0.01,0,0.4,0.19,1272.6,1318.1,17.5
0.01,0.01,0.01,0.01,17.4,1.44,0.01,0,0.01,0.01,0,0.08,1.9,1392.4,1640.4,12
0.01,0.01,0.01,0.01,17.1,2,0.01,0,0.01,0.01,0,0.07,1.82,1874.6,1971.2,10
0.02,0.01,0.01,0.01,17.8,0.64,0.01,0,0.01,0.01,0,0.08,2.03,1730.2,1854.2,10
0.01,0.06,0.03,4.67,12.14,3.17,0.01,0,0.01,0.01,0,0.47,0.19,1390.4,1413.8,15
0.01,0.1,0.18,4.87,12.08,2.97,0.01,0,0.01,0.01,0,0.25,0.15,1230.6,1262.2,16
0.01,0.02,0.03,5,12.16,3,0.01,0,0.01,0.01,0,0.31,0.21,1309.8,1345.6,15
0.02,0.01,0.01,0.01,17.9,0.3,0.01,0,0.01,0.01,0,0.1,1.95,1674.6,1778.3,9
0.02,0.08,0.04,4.73,12.08,3.15,0.01,0,0.01,0.01,0,0.38,0.23,1243.6,1267.1,17
0.01,0.05,0.06,4.86,11.6,2.95,0.01,0,0.01,0.01,0,0.58,0.22,1437.3,1459.3,16
0.01,0.03,0.11,4.77,12.21,3.03,0.01,0,0.01,0.01,0,0.26,0.2,1216.8,1249.8,17
0.37,0.18,0.01,7.41,0.01,6.85,0.96,0,0.01,4.88,0,0.03,0,1784.5,2129,5
0,0.04,0.06,5.01,11.83,2.98,0.01,0,0.01,0.01,0,0.39,0.2,1324.3,1351.8,16
0.01,0.04,1.87,0.01,16.7,0.02,0.01,0,0.01,0.01,0,0.05,0.08,1188.5,1223,18
0.01,0.08,0.04,4.7,12.2,3.13,0.01,0,0.01,0.01,0,0.26,0.19,1212.6,1244.3,18
0.36,0.21,0.01,7.72,0.01,5.71,1.15,0,0.01,4.93,0,0.03,0,1819,2135.9,6
0.37,0.23,0.01,7.19,0.01,5.71,1.1,0,0.78,4.99,0,0.03,0,1340.1,1998.1,10
0,0.05,0.06,4.81,11.5,2.95,0.01,0,0.01,0.01,0,0.66,0.2,1451.7,1494.4,16
0.35,0.23,0.01,7.15,0.01,5.78,1.02,0,0.01,4.9,1.54,0.03,0,1688.1,2039.4,6
0.01,0.07,0.04,4.57,12.05,3.12,0.01,0,0.01,0.01,0,0.34,0.18,1254,1286.4,16
0.01,1.72,0.02,0.01,18.1,0.02,0.01,0,0.01,0.01,0,0.05,0.06,1136.9,1192,8
0.36,0.17,0.01,7.11,0.01,0.25,1.08,0,0.01,5.03,9.18,0.03,0,1681.2,2032.6,2
0.01,0.05,0.11,4.62,12.08,2.79,0.01,0,0.01,0.01,0,0.21,0.2,1167.2,1220.9,17.5
0.43,0.21,0.01,7.14,0.01,5.62,1.02,0,0.01,4.99,0,0.03,0,1736.3,2039.4,6
0.02,0.01,0.01,0.01,15.7,2,0.01,0,0.01,0.01,0,0.1,1.98,1723.2,1847.2,10
0.39,0.22,0.01,6.99,0.01,5.75,1.08,0,0.01,4.9,0,0.03,0,1688.1,1998.1,8
0.02,0.07,0.11,4.7,10.2,3.1,0.01,0,0.01,0.01,0,0.7,0.22,1420,1455.9,12
0.4,0.14,0.01,7.41,0.01,5.75,0.56,0,0.01,4.83,0,0.03,0,1805.2,2101.5,4
0.02,0.07,0.1,4.83,10.2,3.2,0.01,0,0.01,0.01,0,0.52,0.24,1304.3,1338.7,14
0.36,0.23,0.01,6.55,0.01,5.75,0.86,0,0.41,5.1,0,0.03,0,1653.6,1963.7,6
0.02,0.01,0.01,0.01,15.3,1.4,0.01,0,0.01,0.01,0,0.12,2.1,1792.2,1916.2,4
0.38,0.19,0.01,7.39,0.01,5.75,0.06,0,0.01,4.88,0,0.03,0,1564,1887.9,8
0.11,0.68,0.25,11.9,2.38,1.76,0.33,0.02,0.01,0.01,0,0.03,0,1021,1128.8,23.6
0.32,0.23,0.01,6.61,0.01,5.75,0.92,0,0.01,4.9,0,0.03,0,1681.2,1984.3,8
0.01,0.06,0.08,4.72,10.1,3.13,0.01,0,0.01,0.01,0,0.25,0.23,1172,1198.2,16
0.38,0.18,0.01,7.27,0.01,3.77,0.96,0,0.01,4.9,0,0.03,0,1722.5,1998.1,5
0,0.06,0.05,5.15,10.2,3.2,0.01,0,0.01,0.01,0,0.03,0.09,1019,1019,19
0.37,0.17,0.01,5.2,0.01,5.84,1.05,0,0.91,4.88,0,0.03,0,1860.3,2156.6,3
0.41,0.19,0.01,6.99,0.01,5.84,0.92,0,0.01,0.02,0,0.03,0,1812.1,2087.7,2
0.27,0.27,0.01,0.41,8.28,0.49,0.07,0,0.01,3.9,0,0.03,0,1139.7,1236.3,15.4
